commune,lien_schema_developpement_communal,lien_contrat_renovation_urbaine
Dour,/,https://www.communedour.be/vivreadour/permis-urbanisme/renovation
Chimay,https://www.chimayville.be/ma-ville/participations-citoyennes/p-c-d.n/acreaetude-pcdnchimay.pdf,/
